"County","Cases","Fatalities","Hospitalizations","Latest_Status_Report"
"Tift",270,18,68,"2020-06-02_21:25:37"
"Toombs",56,4,10,"2020-06-02_21:25:37"
"Towns",24,1,8,"2020-06-02_21:25:37"
"Treutlen",12,0,1,"2020-06-02_21:25:37"
"Troup",320,11,76,"2020-06-02_21:25:37"
"Turner",128,13,28,"2020-06-02_21:25:37"
"Twiggs",17,1,6,"2020-06-02_21:25:37"
"Union",46,1,12,"2020-06-02_21:25:37"
"Unknown",1561,0,37,"2020-06-02_21:25:37"
"Upson",284,34,43,"2020-06-02_21:25:37"
"Walker",162,0,3,"2020-06-02_21:25:37"
"Walton",269,12,46,"2020-06-02_21:25:37"
"Ware",228,14,53,"2020-06-02_21:25:37"
"Warren",18,0,9,"2020-06-02_21:25:37"
"Washington",74,1,8,"2020-06-02_21:25:37"
"Wayne",20,0,3,"2020-06-02_21:25:37"
"Webster",13,1,4,"2020-06-02_21:25:37"
"Wheeler",13,0,0,"2020-06-02_21:25:37"
"White",103,3,21,"2020-06-02_21:25:37"
"Whitfield",391,7,28,"2020-06-02_21:25:37"
"Wilcox",117,13,20,"2020-06-02_21:25:37"
"Wilkes",33,1,6,"2020-06-02_21:25:37"
"Wilkinson",70,7,23,"2020-06-02_21:25:37"
"Worth",223,21,47,"2020-06-02_21:25:37"
